t,N,Vx,Vy,Vz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz
1501054081.338292,0.1001905500888824,-1300.061401367188,118.2047576904297,-286.4730834960938,6.770661808985778e-11,6.448876155307204e-11,7.050526135143897e-11,-1.699339345455353e-12,-1.179376912021366e-14,7.745697529551454e-13
1501054081.368292,0.09205801039934158,-3775.995849609375,379.6721191406250,799.1501464843750,6.687616432854426e-11,6.572607735844116e-11,6.829300319699527e-11,-2.856819381752418e-12,-3.819528027193542e-12,1.536157160676732e-12
1501054081.398292,0.09356486052274704,-2146.386474609375,854.7689208984375,723.7546386718750,7.761191689326097e-11,6.790572271153650e-11,6.741471270110821e-11,-2.545124701269774e-12,-4.339152735038931e-12,1.424533017588270e-12
1501054081.428292,0.1028593182563782,-2093.643066406250,-430.8015441894531,1022.147888183594,8.178558524862822e-11,6.934610524700346e-11,7.280417935184857e-11,-3.531505166423643e-12,-7.289688817857520e-12,1.150441829474158e-12
1501054081.458292,0.09564500302076340,-2041.199218750000,-909.3582763671875,618.6387939453125,7.911499927404364e-11,6.999067991841912e-11,7.273821128750413e-11,-5.076615343380109e-12,-4.340275534808757e-12,2.334902019993090e-12
1501054081.488292,0.09614964574575424,-1156.060058593750,-959.5947875976562,1372.693603515625,7.555295278294238e-11,6.749866637845159e-11,7.347649572109205e-11,-4.943019084324707e-12,-5.134109717225277e-12,7.902249275944240e-13
1501054081.518292,0.09686133265495300,-2354.386962890625,1986.442749023438,471.7653808593750,8.085065950069747e-11,6.573648569929702e-11,7.057600337478931e-11,-2.357151800136403e-12,-6.170718883785620e-12,1.783404804042710e-12
1501054081.548292,0.09538991749286652,-2065.700439453125,-277.0077514648438,586.3950195312500,8.526440664624602e-11,6.618545989045543e-11,6.797609697350993e-11,-6.084139702461355e-12,-4.622610887822232e-12,3.525050910890837e-12
1501054081.578292,0.09766962379217148,-2931.293457031250,-728.1064453125000,844.8560180664062,7.529284140606052e-11,6.636518418146053e-11,7.170430221803414e-11,8.167915128975967e-13,-1.587475376846337e-12,1.290996714913006e-12
1501054081.608292,0.09385783225297928,-1090.123779296875,322.3857727050781,-365.5332336425781,6.470538688185812e-11,6.319418599520787e-11,7.004508084662575e-11,1.203907633307022e-12,-1.083776623132804e-12,1.512019134029818e-12
1501054081.638292,0.09892565757036209,-55.73187637329102,-622.4745483398438,-656.3529663085938,6.750283665368784e-11,6.969481936014432e-11,7.026802056886439e-11,2.533510510757675e-12,-1.214852112137177e-12,8.017283668546038e-13
1501054081.668292,0.1036149486899376,-713.9526367187500,1363.910644531250,-417.3992919921875,7.142635094492533e-11,6.578831923675921e-11,6.703496091553518e-11,-2.533114776964718e-12,-1.117308827923436e-12,-5.698081438111624e-13
